#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
GC1003827_G04_NODE_80_length_5838_cov_5.497811	1	5838	1855	5838	100	44.6778	35.5	58.9
GC1003827_G04_NODE_81_length_5822_cov_6.286743	1	5822	2103	5821	99.9828	51.6264	35.4	59.6
GC1003827_G04_NODE_82_length_5817_cov_3.904569	1	5817	2260	5807	99.8281	44.5021	34.8	36.3
GC1003827_G04_NODE_83_length_5786_cov_5.786711	1	5786	1855	5786	100	45.6345	35.2	59.4
GC1003827_G04_NODE_84_length_5785_cov_17.489926	1	5785	8162	5785	100	187.908	35.4	55.6
GC1003827_G04_NODE_85_length_5783_cov_15.883840	1	5783	5669	5783	100	135.522	35.4	58.4
GC1003827_G04_NODE_86_length_5766_cov_5.317255	1	5766	1682	5763	99.948	41.8824	35.4	59.5
GC1003827_G04_NODE_87_length_5752_cov_5.862578	1	5752	1965	5752	100	47.9282	35.4	58.9
GC1003827_G04_NODE_88_length_5744_cov_6.142603	1	5744	1900	5739	99.913	47.5369	35.4	59.7
GC1003827_G04_NODE_89_length_5731_cov_5.678979	1	5731	1805	5731	100	44.5917	35.5	59
GC1003827_G04_NODE_90_length_5731_cov_5.337794	1	5731	4194	5721	99.8255	79.9789	34.5	30.3
GC1003827_G04_NODE_91_length_5694_cov_6.800072	1	5694	2263	5694	100	56.0834	35.5	58.2
GC1003827_G04_NODE_92_length_5694_cov_4.831327	1	5694	1492	5694	100	37.6883	35.4	59.6
GC1003827_G04_NODE_93_length_5688_cov_10.565726	1	5688	3358	5688	100	84.1021	35.2	59.5
GC1003827_G04_NODE_94_length_5679_cov_6.836275	1	5679	2317	5679	100	57.1196	35.3	58.7
GC1003827_G04_NODE_95_length_5620_cov_5.654469	1	5620	1969	5618	99.9644	49.3425	35.4	58.8
GC1003827_G04_NODE_96_length_5590_cov_4.714809	1	5590	2424	5590	100	50.0297	35	47.9
GC1003827_G04_NODE_97_length_5588_cov_12.542758	1	5588	4032	5588	100	102.094	35.3	59.2
GC1003827_G04_NODE_98_length_5587_cov_5.961355	1	5587	2005	5579	99.8568	49.4892	35.5	58.5
GC1003827_G04_NODE_99_length_5585_cov_10.563576	1	5585	3700	5585	100	92.6782	35.3	59
GC1003827_G04_NODE_100_length_5583_cov_4.142595	1	5583	1261	5583	100	32.5855	35.3	59.4
GC1003827_G04_NODE_101_length_5569_cov_6.072216	1	5569	3199	5559	99.8204	75.624	35.4	55.3
GC1003827_G04_NODE_102_length_5565_cov_4.089739	1	5565	1379	5565	100	34.5793	35.5	59
GC1003827_G04_NODE_103_length_5543_cov_8.680391	1	5543	2740	5542	99.982	69.6684	35.7	59.3
GC1003827_G04_NODE_104_length_5539_cov_3.863082	1	5539	1160	5539	100	30.1645	35.5	59.6
GC1003827_G04_NODE_105_length_5523_cov_5.745182	1	5523	1883	5513	99.8189	48.3766	35.4	59.1
GC1003827_G04_NODE_106_length_5521_cov_18.313682	1	5521	8302	5509	99.7826	198.143	35.3	48.9
GC1003827_G04_NODE_107_length_5521_cov_7.986466	1	5521	2463	5521	100	63.6928	35.4	59.2
GC1003827_G04_NODE_108_length_5518_cov_7.161195	1	5518	2009	5518	100	53.0772	35.7	59.8
GC1003827_G04_NODE_109_length_5516_cov_8.117276	1	5516	2685	5516	100	67.9578	35.6	58.8
GC1003827_G04_NODE_110_length_5475_cov_6.604338	1	5475	2030	5475	100	52.712	35.4	59.4
GC1003827_G04_NODE_111_length_5464_cov_3.817500	1	5464	1158	5464	100	30.2396	35.6	59.4
GC1003827_G04_NODE_112_length_5456_cov_6.269844	1	5456	2053	5456	100	52.1217	35.3	58.5
GC1003827_G04_NODE_113_length_5454_cov_6.985545	1	5454	2142	5454	100	55.8298	35.5	59.4
GC1003827_G04_NODE_114_length_5429_cov_5.466994	1	5429	1702	5429	100	43.9239	35.4	59.2
GC1003827_G04_NODE_115_length_5426_cov_8.040951	1	5426	2553	5426	100	66.4265	35.5	58
GC1003827_G04_NODE_116_length_5424_cov_6.939588	1	5424	2057	5423	99.9816	53.7222	35.4	59.4
GC1003827_G04_NODE_117_length_5420_cov_3.593425	1	5420	1051	5420	100	27.6085	35.5	59.3
GC1003827_G04_NODE_118_length_5402_cov_6.483033	1	5402	2746	5393	99.8334	67.8565	35.5	55.2
GC1003827_G04_NODE_119_length_5377_cov_4.943238	1	5377	1506	5377	100	39.591	35.5	59.4
GC1003827_G04_NODE_120_length_5355_cov_8.635807	1	5355	2902	5355	100	74.5664	35.4	58.6
GC1003827_G04_NODE_121_length_5354_cov_9.687201	1	5354	3612	5354	100	87.8792	35.2	53.5
GC1003827_G04_NODE_122_length_5304_cov_5.409890	1	5304	1572	5304	100	42.7093	35.3	59.5
GC1003827_G04_NODE_123_length_5298_cov_4.552118	1	5298	1727	5298	100	45.6878	35.2	56.6
GC1003827_G04_NODE_124_length_5292_cov_3.415876	1	5292	1128	5282	99.811	28.9301	35.2	56.7
GC1003827_G04_NODE_125_length_5289_cov_7.532933	1	5289	2473	5289	100	64.2165	35.6	57.1
GC1003827_G04_NODE_126_length_5289_cov_4.408369	1	5289	5370	5289	100	105.764	34.2	22.7
GC1003827_G04_NODE_127_length_5283_cov_2.969162	1	5283	1001	5274	99.8296	24.7199	35.2	52.5
GC1003827_G04_NODE_128_length_5278_cov_2.282081	1	5278	674	5278	100	18.2581	35.5	59.4
GC1003827_G04_NODE_129_length_5274_cov_6.930056	1	5274	2033	5274	100	54.7042	35.5	59.5
GC1003827_G04_NODE_130_length_5273_cov_6.254567	1	5273	1939	5273	100	51.4098	35.5	59.2
GC1003827_G04_NODE_131_length_5266_cov_7.700136	1	5266	2393	5266	100	64.0744	35.3	59
GC1003827_G04_NODE_132_length_5252_cov_4.276098	1	5252	1282	5252	100	34.8661	35.4	59.1
GC1003827_G04_NODE_133_length_5241_cov_5.791357	1	5241	1976	5241	100	50.851	35.4	57.8
GC1003827_G04_NODE_134_length_5236_cov_5.347818	1	5236	1519	5236	100	41.7269	35.6	59.6
GC1003827_G04_NODE_135_length_5221_cov_7.723204	1	5221	3154	5221	100	74.3281	35.1	48
GC1003827_G04_NODE_136_length_5221_cov_4.149784	1	5221	1171	5221	100	31.9715	35.4	59.4
GC1003827_G04_NODE_137_length_5220_cov_5.829963	1	5220	1722	5219	99.9808	46.6278	35.4	59.5
GC1003827_G04_NODE_138_length_5213_cov_2.983091	1	5213	874	5213	100	23.8966	35.6	59.4
GC1003827_G04_NODE_139_length_5205_cov_7.111461	1	5205	2290	5205	100	59.8884	35.2	56.6
GC1003827_G04_NODE_140_length_5203_cov_9.528172	1	5203	2898	5203	100	78.1097	35.5	58.9
GC1003827_G04_NODE_141_length_5201_cov_7.269216	1	5201	2559	5201	100	68.3192	35	59.2
GC1003827_G04_NODE_142_length_5196_cov_6.487867	1	5196	2047	5196	100	55.0704	35.4	59.2
GC1003827_G04_NODE_143_length_5184_cov_18.079889	1	5184	6447	5184	100	174.476	35.5	59.2
GC1003827_G04_NODE_144_length_5182_cov_6.067260	1	5182	2482	5182	100	64.3692	35.2	57.8
GC1003827_G04_NODE_145_length_5167_cov_11.813294	1	5167	3424	5167	100	94.1388	35.5	59.3
GC1003827_G04_NODE_146_length_5162_cov_8.798411	1	5162	2830	5162	100	74.1129	35.4	56.9
GC1003827_G04_NODE_147_length_5154_cov_6.234732	1	5154	1813	5151	99.9418	49.6125	35.4	59.2
GC1003827_G04_NODE_148_length_5147_cov_7.284263	1	5147	2076	5147	100	57.6141	35.5	59.6
GC1003827_G04_NODE_149_length_5145_cov_5.248505	1	5145	2108	5145	100	54.4785	35.4	55.6
GC1003827_G04_NODE_150_length_5130_cov_6.533880	1	5130	1828	5130	100	51.0515	35.4	59.4
GC1003827_G04_NODE_151_length_5128_cov_2.605079	1	5128	736	5128	100	20.5177	35.2	58.9
GC1003827_G04_NODE_152_length_5119_cov_16.152845	1	5119	4816	5119	100	132.582	35.5	58.9
GC1003827_G04_NODE_153_length_5115_cov_8.588212	1	5115	2543	5115	100	70.1464	35.4	59.4
GC1003827_G04_NODE_154_length_5115_cov_5.176022	1	5115	1476	5096	99.6285	41.3975	35.2	59.7
GC1003827_G04_NODE_155_length_5104_cov_5.448061	1	5104	1616	5104	100	44.9493	35.4	59.3
GC1003827_G04_NODE_156_length_5088_cov_6.869381	1	5088	2673	5088	100	69.8901	35.1	54.5
GC1003827_G04_NODE_157_length_5085_cov_5.543768	1	5085	1958	5085	100	48.083	35.3	48.7
GC1003827_G04_NODE_158_length_5082_cov_6.238951	1	5082	1870	5082	100	51.6558	35.4	59.4
GC1003827_G04_NODE_159_length_5079_cov_13.438409	1	5079	4235	5070	99.8228	116.172	35.4	59.1
GC1003827_G04_NODE_160_length_5062_cov_7.168186	1	5062	2754	5062	100	74.9255	35.4	59
GC1003827_G04_NODE_161_length_5058_cov_3.009329	1	5058	1288	5058	100	29.2023	35.2	42.4
GC1003827_G04_NODE_162_length_5054_cov_5.703471	1	5054	1819	5054	100	50.1013	35.4	58
GC1003827_G04_NODE_163_length_5050_cov_5.152752	1	5050	1746	5049	99.9802	44.0812	35.4	52.6
GC1003827_G04_NODE_164_length_5036_cov_2.218782	1	5036	644	5036	100	17.8169	35.2	59
GC1003827_G04_NODE_165_length_5032_cov_5.141692	1	5032	1510	5032	100	41.1445	35.5	56.3
GC1003827_G04_NODE_166_length_5025_cov_8.645570	1	5025	2593	5015	99.801	72.5441	35.4	59.3
GC1003827_G04_NODE_167_length_5011_cov_10.983825	1	5011	3132	5001	99.8004	86.0345	35.4	56.4
GC1003827_G04_NODE_168_length_5008_cov_4.699242	1	5008	1258	5008	100	36.3968	35.3	59.6
GC1003827_G04_NODE_169_length_5003_cov_11.024815	1	5003	3342	5003	100	92.6002	35.4	58.9
GC1003827_G04_NODE_170_length_4998_cov_8.456990	1	4998	2292	4998	100	65.3898	35.5	59.1
GC1003827_G04_NODE_171_length_4989_cov_6.391403	1	4989	1829	4989	100	51.4576	35.4	58.9
GC1003827_G04_NODE_172_length_4986_cov_4.559992	1	4986	1383	4986	100	38.5523	35	58
GC1003827_G04_NODE_173_length_4979_cov_3.303380	1	4979	1550	4979	100	36.345	35	43.1
GC1003827_G04_NODE_174_length_4969_cov_7.600578	1	4969	2254	4969	100	63.4735	35.4	58.8
GC1003827_G04_NODE_175_length_4964_cov_3.373579	1	4964	1142	4962	99.9597	30.7901	35.4	58.7
GC1003827_G04_NODE_176_length_4957_cov_4.778882	1	4957	3714	4957	100	76.5699	34.3	27.4
GC1003827_G04_NODE_177_length_4956_cov_2.388693	1	4956	760	4956	100	21.1487	35.1	57.8
GC1003827_G04_NODE_178_length_4947_cov_6.964938	1	4947	2009	4947	100	57.3341	35.6	59.3
GC1003827_G04_NODE_179_length_4943_cov_6.818522	1	4943	2001	4943	100	56.8661	35.5	59.4
GC1003827_G04_NODE_180_length_4929_cov_5.693461	1	4929	3038	4929	100	68.0039	34.7	33.9
GC1003827_G04_NODE_181_length_4924_cov_5.332916	1	4924	1439	4924	100	41.7713	35.3	59.5
GC1003827_G04_NODE_182_length_4915_cov_7.472640	1	4915	2127	4915	100	61.1217	35.4	59.1
GC1003827_G04_NODE_183_length_4911_cov_8.959030	1	4911	2775	4911	100	73.6019	35.2	51.7
GC1003827_G04_NODE_184_length_4902_cov_8.922304	1	4902	2466	4900	99.9592	71.3392	35.1	59.6
GC1003827_G04_NODE_185_length_4901_cov_7.217847	1	4901	2065	4901	100	59.534	35.3	59.1
GC1003827_G04_NODE_186_length_4898_cov_6.523161	1	4898	1906	4898	100	53.4798	35.4	56.9
GC1003827_G04_NODE_187_length_4889_cov_10.267745	1	4889	2844	4889	100	81.7576	35.2	59
GC1003827_G04_NODE_188_length_4887_cov_6.468908	1	4887	1844	4887	100	53.5461	35.4	59.4
GC1003827_G04_NODE_189_length_4872_cov_2.122445	1	4872	568	4853	99.61	16.6431	35.4	59.4
GC1003827_G04_NODE_190_length_4868_cov_4.063489	1	4868	1094	4868	100	32.2578	35.4	59.8
GC1003827_G04_NODE_191_length_4863_cov_3.764569	1	4863	1017	4863	100	29.7395	35.5	59.5
GC1003827_G04_NODE_192_length_4857_cov_7.841226	1	4857	2299	4857	100	66.2285	35.6	59.3
GC1003827_G04_NODE_193_length_4855_cov_9.131345	1	4855	2492	4855	100	72.4719	35.5	59.3
GC1003827_G04_NODE_194_length_4854_cov_7.163529	1	4854	1951	4854	100	57.1366	35.3	59.4
GC1003827_G04_NODE_195_length_4847_cov_7.660381	1	4847	2286	4847	100	65.5308	35.3	58.8
GC1003827_G04_NODE_196_length_4843_cov_3.992154	1	4843	1032	4834	99.8142	30.5214	35.5	59.7
GC1003827_G04_NODE_197_length_4839_cov_6.840620	1	4839	2018	4839	100	58.3005	35.5	59.1
GC1003827_G04_NODE_198_length_4838_cov_7.591806	1	4838	1931	4838	100	57.3661	35.4	59.6
GC1003827_G04_NODE_199_length_4835_cov_9.740229	1	4835	2717	4825	99.7932	78.5121	35.4	59
GC1003827_G04_NODE_200_length_4835_cov_9.717077	1	4835	2627	4835	100	76.8314	35.3	59.3
GC1003827_G04_NODE_201_length_4830_cov_3.440782	1	4830	2362	4830	100	49.5035	34.9	29.1
GC1003827_G04_NODE_202_length_4830_cov_3.410376	1	4830	1105	4830	100	28.7812	35.4	50.2
GC1003827_G04_NODE_203_length_4827_cov_4.292766	1	4827	1144	4817	99.7928	32.5337	35.3	56.3
GC1003827_G04_NODE_204_length_4825_cov_7.330992	1	4825	1944	4815	99.7927	57.4622	35.3	59.4
GC1003827_G04_NODE_205_length_4824_cov_6.020864	1	4824	1672	4824	100	49.5041	35.4	59.6
GC1003827_G04_NODE_206_length_4813_cov_4.420188	1	4813	1843	4813	100	42.3896	35.5	58.1
GC1003827_G04_NODE_207_length_4808_cov_3.588122	1	4808	3894	4799	99.8128	68.7188	34.2	21.2
GC1003827_G04_NODE_208_length_4799_cov_7.715111	1	4799	2041	4799	100	60.2913	35.3	59.2
GC1003827_G04_NODE_209_length_4791_cov_8.569039	1	4791	4653	4791	100	111.65	34.7	34.3
GC1003827_G04_NODE_210_length_4790_cov_8.425906	1	4790	2411	4790	100	70.323	35.5	59.4
GC1003827_G04_NODE_211_length_4785_cov_5.612924	1	4785	1451	4785	100	43.3697	35.3	59
GC1003827_G04_NODE_212_length_4782_cov_3.608378	1	4782	1064	4782	100	30.8229	35.4	58.6
GC1003827_G04_NODE_213_length_4774_cov_7.584463	1	4774	2065	4774	100	61.0008	35.4	59.4
GC1003827_G04_NODE_214_length_4766_cov_5.073292	1	4766	1387	4766	100	41.5245	35.1	58.6
GC1003827_G04_NODE_215_length_4765_cov_5.429495	1	4765	1430	4755	99.7901	42.7748	35.5	59.4
GC1003827_G04_NODE_216_length_4763_cov_6.083261	1	4763	1638	4762	99.979	48.9185	35.5	59.4
GC1003827_G04_NODE_217_length_4760_cov_3.744442	1	4760	1028	4760	100	30.2357	35.6	59.2
GC1003827_G04_NODE_218_length_4759_cov_6.101900	1	4759	1699	4749	99.7899	50.2612	35.5	59.5
GC1003827_G04_NODE_219_length_4753_cov_11.808042	1	4753	4977	4753	100	146.454	35.5	59.4
GC1003827_G04_NODE_220_length_4752_cov_6.904216	1	4752	1941	4742	99.7896	56.3691	35.2	58.1
GC1003827_G04_NODE_221_length_4749_cov_10.216357	1	4749	2734	4749	100	81.6985	35.5	59.5
GC1003827_G04_NODE_222_length_4742_cov_3.026436	1	4742	764	4742	100	22.9034	35.5	58.4
GC1003827_G04_NODE_223_length_4741_cov_6.828132	1	4741	1876	4741	100	55.1588	35.3	59.3
GC1003827_G04_NODE_224_length_4739_cov_6.364918	1	4739	1621	4739	100	48.9097	35.2	59.4
GC1003827_G04_NODE_225_length_4724_cov_7.038286	1	4724	1846	4724	100	55.4196	35.4	59.5
GC1003827_G04_NODE_226_length_4723_cov_3.984987	1	4723	1088	4714	99.8094	32.7588	35.4	59.7
GC1003827_G04_NODE_227_length_4719_cov_7.647213	1	4719	2112	4719	100	63.3772	35.5	59
GC1003827_G04_NODE_228_length_4708_cov_5.651604	1	4708	1497	4706	99.9575	45.4316	35.2	59.3
GC1003827_G04_NODE_229_length_4703_cov_6.226399	1	4703	1639	4703	100	49.8329	35.4	59.5
GC1003827_G04_NODE_230_length_4701_cov_7.197202	1	4701	2097	4700	99.9787	61.1576	35.4	58.6
GC1003827_G04_NODE_231_length_4701_cov_6.632269	1	4701	1796	4701	100	53.7075	35.4	59.2
GC1003827_G04_NODE_232_length_4698_cov_9.850361	1	4698	2679	4688	99.7871	79.066	35.5	57.2
GC1003827_G04_NODE_233_length_4694_cov_3.739435	1	4694	1317	4694	100	33.3683	34.9	46
GC1003827_G04_NODE_234_length_4691_cov_6.797108	1	4691	1959	4691	100	57.5412	35.2	58
GC1003827_G04_NODE_235_length_4689_cov_8.898948	1	4689	2456	4689	100	73.7262	35.5	59.2
GC1003827_G04_NODE_236_length_4687_cov_5.385746	1	4687	1415	4687	100	42.6311	35.4	58.8
GC1003827_G04_NODE_237_length_4687_cov_4.340789	1	4687	1265	4687	100	37.3205	35.3	57.2
GC1003827_G04_NODE_238_length_4685_cov_3.845766	1	4685	1078	4685	100	30.8743	35.7	55.5
GC1003827_G04_NODE_239_length_4676_cov_8.352385	1	4676	2494	4676	100	73.8396	35.3	58.6
GC1003827_G04_NODE_240_length_4676_cov_7.268411	1	4676	1868	4676	100	56.984	35.2	59.2
GC1003827_G04_NODE_241_length_4675_cov_3.568162	1	4675	1006	4675	100	28.8428	35.1	55.5
GC1003827_G04_NODE_242_length_4673_cov_5.192477	1	4673	1508	4673	100	44.2718	35.4	58.3
GC1003827_G04_NODE_243_length_4666_cov_3.409562	1	4666	970	4666	100	29.3778	35.1	59.3
GC1003827_G04_NODE_244_length_4665_cov_7.744822	1	4665	1948	4665	100	59.7327	35.2	59.2
GC1003827_G04_NODE_245_length_4664_cov_5.131585	1	4664	1452	4664	100	44.0328	35.4	59.4
GC1003827_G04_NODE_246_length_4662_cov_8.137155	1	4662	2187	4662	100	65.7763	35.5	59.3
GC1003827_G04_NODE_247_length_4661_cov_7.977944	1	4661	2150	4661	100	64.7803	35.3	58.8
GC1003827_G04_NODE_248_length_4635_cov_5.732919	1	4635	1706	4635	100	51.2257	34.9	58.9
GC1003827_G04_NODE_249_length_4632_cov_4.956271	1	4632	2724	4632	100	62.5741	34.5	33.7
GC1003827_G04_NODE_250_length_4622_cov_5.560178	1	4622	1380	4614	99.8269	42.5035	35.4	59.1
GC1003827_G04_NODE_251_length_4617_cov_9.292873	1	4617	3818	4617	100	97.4475	35.1	41.2
GC1003827_G04_NODE_252_length_4617_cov_3.150334	1	4617	936	4617	100	27.522	35	56.9
GC1003827_G04_NODE_253_length_4616_cov_3.087102	1	4616	777	4616	100	24.2247	35.4	59.7
GC1003827_G04_NODE_254_length_4609_cov_5.406069	1	4609	1703	4609	100	50.9026	35.4	58.1
GC1003827_G04_NODE_255_length_4606_cov_3.584059	1	4606	1021	4606	100	30.0927	35.4	59.3
GC1003827_G04_NODE_256_length_4605_cov_4.298571	1	4605	1426	4605	100	37.77	34.9	47.2
