qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle	staxid	lineage	species
ICM0016_COSAG.1_Dictyochophyceae	gi|642668|gb|L37204.1|TPERRO	93.418	1808	105	12	1	1796	1809	4	0	2669	Pteridomonas danica ribosomal RNA (rRNA)	38822	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Dictyochophyceae;Pedinellales;Pteridomonas;Pteridomonas danica	Pteridomonas danica
ICM0017_SAG.1_MAST-8	gi|1253992822|dbj|LC257669.1|	90.923	1333	99	21	1	1322	450	1771	0	1772	Pseudophyllomitus vesiculosus gene for 18S ribosomal RNA, partial sequence, strain: SRT537	1978334	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Pseudophyllomitidae;Pseudophyllomitus;Pseudophyllomitus vesiculosus	Pseudophyllomitus vesiculosus
ICM0018_SAG.1_MALV-I	gi|1185663359|gb|KY979983.1|	94.784	1687	71	11	81	1750	1	1687	0	2612	Karlodinium veneficum isolate NY13S_37 small subunit ribosomal RNA gene, partial sequence	407301	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium veneficum	Karlodinium veneficum
ICM0019_COSAG.1_Choanoflagellata	gi|2999022600|gb|PV791352.1|	91.736	1791	126	19	1	1779	4	1784	0	2468	Acanthocorbis camarensis strain BEAP0094 18S ribosomal RNA, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA, partial sequence	3439054	cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Acanthoecida;Stephanoecidae;Acanthocorbis;Acanthocorbis camarensis	Acanthocorbis camarensis
ICM0020_SAG.1_MALV-II	gi|66736972|gb|DQ004734.1|	88.376	1798	170	34	1	1776	2	1782	0	2126	Prorocentrum triestinum clone PtriC small subunit ribosomal RNA gene, partial sequence	39450	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum triestinum	Prorocentrum triestinum
ICM0021_SAG.1_MALV-I	gi|1185663359|gb|KY979983.1|	98.046	1689	24	6	80	1761	1	1687	0	2928	Karlodinium veneficum isolate NY13S_37 small subunit ribosomal RNA gene, partial sequence	407301	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium veneficum	Karlodinium veneficum
ICM0022_SAG.1_MALV-II	gi|1828314365|gb|MK405477.1|	89.89	1810	153	28	1	1792	2	1799	0	2305	Prorocentrum micans strain A10 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	2945	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum micans	Prorocentrum micans
ICM0023_SAG.1_MAST-8	gi|2499023739|gb|OQ909084.1|	91.233	1825	133	23	1	1808	3	1817	0	2459	Mastreximonas tlaamin strain PRC5 small subunit ribosomal RNA gene, partial sequence	3043345	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Bigyra incertae sedis;Mastreximonas;Mastreximonas tlaamin	Mastreximonas tlaamin
ICM0024_COSAG.1_MAST-8	gi|1253992822|dbj|LC257669.1|	90.975	1784	121	31	1	1759	3	1771	0	2366	Pseudophyllomitus vesiculosus gene for 18S ribosomal RNA, partial sequence, strain: SRT537	1978334	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Pseudophyllomitidae;Pseudophyllomitus;Pseudophyllomitus vesiculosus	Pseudophyllomitus vesiculosus
ICM0025_SAG.1_Dictyochophyceae	gi|2862228905|gb|PQ645539.1|	93.208	1384	66	23	1	1366	25	1398	0	2010	Pseudopedinella elastica isolate AGSB0417 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	35684	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Dictyochophyceae;Pedinellales;Pseudopedinella;Pseudopedinella elastica	Pseudopedinella elastica
ICM0026_COSAG.1_MAST-1	gi|40644657|emb|AJ561112.1|	91.247	1828	105	38	1	1785	1817	2	0	2438	Pirsonia guinardiae partial 18S rRNA gene, isolate P844	230410	cellular organisms;Eukaryota;Sar;Stramenopiles;Pirsoniales;Pirsoniaceae;Pirsonia;Pirsonia guinardiae	Pirsonia guinardiae
ICM0027_SAG.1_Dictyochophyceae	gi|2862228905|gb|PQ645539.1|	95.082	732	24	10	1	724	672	1399	0	1142	Pseudopedinella elastica isolate AGSB0417 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	35684	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Dictyochophyceae;Pedinellales;Pseudopedinella;Pseudopedinella elastica	Pseudopedinella elastica
ICM0028_COSAG.1_Mamiellophyceae	gi|65427928|gb|AY954999.1|	97.778	1170	23	3	1	1169	554	1721	0	2013	Micromonas pusilla strain CCMP2099 genotype A 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence	38833	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla	Micromonas pusilla
ICM0031_SAG.1_Chrysophyceae	gi|133901621|gb|EF432518.1|	91.948	1006	65	13	1	994	3	1004	0	1395	Paraphysomonas imperforata clone C1 18S ribosomal RNA gene, partial sequence	37642	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas;Paraphysomonas imperforata	Paraphysomonas imperforata
ICM0032_SAG.1_MALV-II	gi|2022381573|gb|MW874840.1|	90.354	622	50	10	20	636	652	1268	0	811	Kirithra sigma clone GYM15 small subunit ribosomal RNA gene, partial sequence	2606406	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Ceratoperidiniaeceae;Kirithra;Kirithra sigma	Kirithra sigma
ICM0033_SAG.1_MALV-II	gi|1828314365|gb|MK405477.1|	90.182	1813	140	35	2	1791	2	1799	0	2327	Prorocentrum micans strain A10 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	2945	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum micans	Prorocentrum micans
ICM0034_SAG.1_MALV-II	gi|1341122512|gb|MG022774.1|	89.262	1816	154	36	1	1791	6	1805	0	2235	Karenia mikimotoi isolate CCAP 1127/4 small subunit ribosomal RNA gene, partial sequence	225107	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Kareniaceae;Karenia;Karenia mikimotoi	Karenia mikimotoi
ICM0035_SAG.1_MAST-2	gi|1185663743|gb|KY980367.1|	99.639	554	2	0	496	1049	646	1199	0	1016	Pirsonia guinardiae isolate BH65_88 small subunit ribosomal RNA gene, partial sequence	230410	cellular organisms;Eukaryota;Sar;Stramenopiles;Pirsoniales;Pirsoniaceae;Pirsonia;Pirsonia guinardiae	Pirsonia guinardiae
ICM0036_COSAG.1_Picozoa	gi|477693060|gb|JX988758.1|	96.946	1801	47	8	7	1803	1	1797	0	3014	Picomonas judraskeda 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and 28S ribosomal RNA gene, complete sequence	1315715	cellular organisms;Eukaryota;Eukaryota incertae sedis;Picozoa;Picomonadea;Picomonadida;Picomonadidae;Picomonas;Picomonas judraskeda	Picomonas judraskeda
ICM0037_SAG.1_MAST-3	gi|1185663430|gb|KY980054.1|	92.857	1624	94	19	78	1689	2	1615	0	2342	Incisomonas marina isolate NY13S_198 small subunit ribosomal RNA gene, partial sequence	1167876	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;Incisomonas;Incisomonas marina	Incisomonas marina
ICM0038_SAG.1_Chrysophyceae	gi|133901621|gb|EF432518.1|	99.107	1792	16	0	1	1792	2	1793	0	3221	Paraphysomonas imperforata clone C1 18S ribosomal RNA gene, partial sequence	37642	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas;Paraphysomonas imperforata	Paraphysomonas imperforata
ICM0039_SAG.1_Telonemia	gi|84619365|emb|AJ564773.1|	96.303	1758	53	8	1	1757	20	1766	0	2876	Telonema antarcticum 18S rRNA gene	232288	cellular organisms;Eukaryota;Eukaryota incertae sedis;Telonemia;Telonemida;Telonemidae;Telonema;Telonema antarcticum	Telonema antarcticum
ICM0040_SAG.1_Picozoa	gi|477693060|gb|JX988758.1|	97.896	618	13	0	1	618	158	775	0	1070	Picomonas judraskeda 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and 28S ribosomal RNA gene, complete sequence	1315715	cellular organisms;Eukaryota;Eukaryota incertae sedis;Picozoa;Picomonadea;Picomonadida;Picomonadidae;Picomonas;Picomonas judraskeda	Picomonas judraskeda
ICM0041_COSAG.1_Chlorarachnea	gi|397310687|gb|JX272635.1|	99.831	1779	2	1	1	1778	2	1780	0	3267	Minorisa minuta isolate 6C1 18S ribosomal RNA gene, partial sequence	1213618	cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Chlorarachniophyceae;Minorisa;Minorisa minuta	Minorisa minuta
ICM0042_COSAG.1_MAST-4	gi|2499023741|gb|OQ909086.1|	90.865	1664	127	20	51	1694	1	1659	0	2207	Vomastramonas tehuelche strain Colp-33 small subunit ribosomal RNA gene, partial sequence	3043346	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Bigyra incertae sedis;Vomastramonas;Vomastramonas tehuelche	Vomastramonas tehuelche
ICM0043_COSAG.1_MAST-7	gi|2757670952|gb|PQ008747.1|	88.235	1819	161	45	1	1798	20	1806	0	2124	Mallomonas annulata strain CZ34K small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence	52548	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;Mallomonas annulata	Mallomonas annulata
ICM0044_SAG.1_Labyrinthulomycetes	gi|857458|gb|U21338.1|LHU21338	89.001	1791	145	43	1	1756	6	1779	0	2169	Labyrinthuloides haliotidis 18S ribosomal RNA, partial sequence	38760	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Labyrinthulomycetes;Thraustochytrida;Thraustochytriidae;Labyrinthulochytrium;Labyrinthulochytrium haliotidis	Labyrinthulochytrium haliotidis
ICM0045_COSAG.1_MAST-3	gi|2071185244|gb|MZ613177.1|	91.163	1788	122	28	22	1797	1	1764	0	2394	Incisomonas marina isolate 6125 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence	1167876	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;Incisomonas;Incisomonas marina	Incisomonas marina
ICM0048_COSAG.1_Chrysophyceae	gi|5257281|gb|AF123301.1|AF123301	91.871	1796	109	29	1	1773	3	1784	0	2477	Epipyxis aurea small subunit ribosomal RNA gene, partial sequence	98050	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Dinobryaceae;Epipyxis;Epipyxis aurea	Epipyxis aurea
ICM0049_SAG.1_MAST-7	gi|2499023739|gb|OQ909084.1|	93.023	344	23	1	90	433	759	1101	1.37e-136	501	Mastreximonas tlaamin strain PRC5 small subunit ribosomal RNA gene, partial sequence	3043345	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Bigyra incertae sedis;Mastreximonas;Mastreximonas tlaamin	Mastreximonas tlaamin
ICM0050_SAG.1_MAST-7	gi|2499023739|gb|OQ909084.1|	90.775	1832	117	41	1	1797	2	1816	0	2399	Mastreximonas tlaamin strain PRC5 small subunit ribosomal RNA gene, partial sequence	3043345	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Bigyra incertae sedis;Mastreximonas;Mastreximonas tlaamin	Mastreximonas tlaamin
ICM0051_COSAG.1_MAST-3	gi|1185663417|gb|KY980041.1|	98.525	1695	24	1	83	1777	1	1694	0	2990	Stephanopyxis turris isolate NY13S_180 small subunit ribosomal RNA gene, partial sequence	515487	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Coscinodiscophyceae;Coscinodiscophycidae;Melosirales;Stephanopyxidaceae;Stephanopyxis;Stephanopyxis turris	Stephanopyxis turris
ICM0052_COSAG.1_MAST-7	gi|927412|emb|X80344.1|	89.074	1803	155	33	1	1774	21	1810	0	2200	H.catenoides gene for 18S ribosomal RNA	42384	cellular organisms;Eukaryota;Sar;Stramenopiles;Hyphochytriomycetes;Hyphochytriales;Hyphochytriaceae;Hyphochytrium;Hyphochytrium catenoides	Hyphochytrium catenoides
ICM0053_COSAG.1_Chrysophyceae	gi|2757670970|gb|PQ008755.1|	93.03	1779	96	22	1	1761	19	1787	0	2573	Mallomonas munda strain CZ38H small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence	3233832	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;Mallomonas munda	Mallomonas munda
ICM0054_COSAG.1_Labyrinthulomycetes	gi|433687355|gb|JQ967309.1|	85.524	601	65	19	701	1290	669	1258	3.4199999999999996e-168	608	Paraphysomonas sp. 1 JMS-2012 18S ribosomal RNA gene, partial sequence	1274395	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas;Paraphysomonas solis	Paraphysomonas solis
ICM0055_SAG.1_Picozoa	gi|477693060|gb|JX988758.1|	97.059	1802	43	10	8	1804	1	1797	0	3025	Picomonas judraskeda 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and 28S ribosomal RNA gene, complete sequence	1315715	cellular organisms;Eukaryota;Eukaryota incertae sedis;Picozoa;Picomonadea;Picomonadida;Picomonadidae;Picomonas;Picomonas judraskeda	Picomonas judraskeda
ICM0056_SAG.1_Choanoflagellata	gi|157780192|gb|EU011928.1|	94.725	1782	77	16	5	1780	1	1771	0	2754	Savillea micropora 18S ribosomal RNA gene, partial sequence	473817	cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Acanthoecida;Acanthoecidae;Savillea;Savillea micropora	Savillea micropora
ICM0058_SAG.1_Cercozoa	gi|3047580860|gb|PX213624.1|	95.262	992	39	6	1	990	833	1818	0	1565	Thaumatomonadida sp. isolate PRC3 small subunit ribosomal RNA gene, partial sequence	1979857	cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Imbricatea;Silicofilosea;Thaumatomonadida;Thaumatomonadida sp.	Thaumatomonadida sp.
ICM0061_SAG.1_Basidiomycota	gi|1859735546|gb|MT644864.1|	99.677	928	3	0	1	928	828	1755	0	1698	Fuscoporia contigua isolate DM1178 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	167365	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Hymenochaetales;Hymenochaetaceae;Fuscoporia;Fuscoporia contigua	Fuscoporia contigua
ICM0062_COSAG.1_Mamiellophyceae	gi|1812772020|gb|MT117944.1|	100	1776	0	0	1	1776	7	1782	0	3280	Micromonas bravo strain CCMP1646 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	296588	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas bravo	Micromonas bravo
ICM0063_COSAG.1_Mamiellophyceae	gi|1812772020|gb|MT117944.1|	98.368	1777	26	3	1	1776	7	1781	0	3118	Micromonas bravo strain CCMP1646 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	296588	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas bravo	Micromonas bravo
ICM0064_SAG.1_Mamiellophyceae	gi|1812772020|gb|MT117944.1|	98.368	1777	26	3	1	1776	7	1781	0	3118	Micromonas bravo strain CCMP1646 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	296588	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas bravo	Micromonas bravo
ICM0065_COSAG.1_Prymnesiophyceae	gi|7248629|gb|AF163147.1|AF163147	99.555	1799	8	0	1	1799	2	1800	0	3288	Phaeocystis cordata small subunit ribosomal RNA gene, complete sequence	118079	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis cordata	Phaeocystis cordata
ICM0066_SAG.1_Pinguiophyceae	gi|19909884|dbj|AB042204.1|	99.502	1809	7	2	1	1808	3	1810	0	3290	Phaeomonas parva gene for 18S rRNA, complete sequence	124430	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Pinguiophyceae;Pinguiochrysidales;Pinguiochrysidaceae;Phaeomonas;Phaeomonas parva	Phaeomonas parva
ICM0067_COSAG.1_Diatomea	gi|2839792210|gb|PQ512808.1|	99.385	1788	8	3	1	1785	2	1789	0	3238	Pseudo-nitzschia delicatissima isolate CNS00130 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	44447	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyceae;Bacillariophycidae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima	Pseudo-nitzschia delicatissima
ICM0068_COSAG.1_Diatomea	gi|2839792220|gb|PQ512818.1|	99.944	1787	1	0	1	1787	2	1788	0	3295	Pseudo-nitzschia galaxiae isolate CNS01103 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	189737	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyceae;Bacillariophycidae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia galaxiae	Pseudo-nitzschia galaxiae
ICM0069_SAG.1_Dictyochophyceae	gi|32454715|gb|AY254857.1|	99.323	1773	10	2	19	1791	1	1771	0	3206	Florenciella parvula 18S ribosomal RNA gene, partial sequence	236787	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Dictyochophyceae;Florenciellales;Florenciella;Florenciella parvula	Florenciella parvula
ICM0070_SAG.1_Chrysophyceae	gi|359385350|emb|FR865768.1|	97.002	1768	46	6	24	1787	1	1765	0	2964	Ochromonas villosa genomic DNA containing 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, culture collection CCAP 933/25	1034829	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;Ochromonas villosa	Ochromonas villosa
ICM0071_SAG.1_Prymnesiophyceae	gi|7799037|emb|AJ246274.1|	98.208	1786	30	2	1	1786	3	1786	0	3120	Chrysochromulina scutellum 18S rRNA gene, strain UIO46 (=G7)	97487	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina scutellum	Chrysochromulina scutellum
ICM0072_SAG.1_Prymnesiophyceae	gi|2865913000|dbj|LC819334.1|	94.757	515	25	2	1	514	982	1495	0	800	Chrysochromulina simplex HrHp561 gene for 18S rRNA, partial sequence	412158	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina simplex	Chrysochromulina simplex
ICM0073_SAG.1_Mamiellophyceae	gi|2772139031|gb|PQ048282.1|	99.698	1655	5	0	46	1700	1	1655	0	3029	Mamiellaceae sp. T74399-1 strain RCC2485 small subunit ribosomal RNA gene, partial sequence	3235065	NA	NA
ICM0074_SAG.1_Diatomea	gi|2202538963|gb|OM891869.1|	98.656	1786	23	1	1	1786	2	1786	0	3164	Cylindrotheca closterium small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	2856	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyceae;Bacillariophycidae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium	Cylindrotheca closterium
ICM0075_COSAG.1_MOCH-2	gi|158562840|dbj|AB365026.1|	91.011	1791	114	37	18	1774	1	1778	0	2372	Haramonas viridis gene for 18S ribosomal RNA, partial sequence, strain: TKB-314	478667	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Raphidophyceae;Raphidophyceae incertae sedis;Haramonas;Haramonas viridis	Haramonas viridis
