annot	type	PF	HF	n_subgroups	pfam_id	clan_id	clan_name	Function?	pfam_description
EGF_2	shared	12	19	18	PF07974	CL0001	EGF		EGF-like domain
Cupin_8	shared	42	18	18	PF13621	CL0029	Cupin		Cupin-like domain
Pkinase	shared	39	18	27	PF00069	CL0016	PKinase		Protein kinase domain
PAN_4	shared	10	18	15	PF14295	CL0168	PAN		PAN domain
EGF_Teneurin	shared	28	17	14	PF23106	CL0001	EGF		Teneurin-like EGF domain
fn3	shared	8	17	16	PF00041	CL0159	E-set		Fibronectin type III domain
Melibiase_2	shared	7	17	13	PF16499	CL0036	TIM_barrel		Alpha galactosidase A
Guanylate_cyc	shared	45	16	22	PF00211	CL0276	Nucleot_cyclase		Adenylate and Guanylate cyclase catalytic domain
Ank	shared	36	16	25	PF00023	CL0465	Ank		Ankyrin repeat
LRR_1	shared	23	16	26	PF00560	CL0022	LRR		Leucine Rich Repeat
zf-C2H2	shared	35	15	23	PF00096	CL0361	C2H2-zf		Zinc finger, C2H2 type
RVT_2	shared	22	14	21	PF07727	CL0027	RdRP		Reverse transcriptase (RNA-dependent DNA polymerase)
Kinesin	shared	12	11	12	PF00225	CL0023	P-loop_NTPase		Kinesin motor domain
RCC1	shared	5	11	11	PF00415	CL0186	Beta_propeller		Regulator of chromosome condensation (RCC1) repeat
Ras	shared	51	10	17	PF00071	CL0023	P-loop_NTPase		Ras family
Lectin_C	shared	19	10	12	PF00059	CL0056	C_Lectin		Lectin C-type domain
PPR	shared	7	9	11	PF01535	CL0020	TPR		PPR repeat
Beta-lactamase	shared	8	8	10	PF00144	CL0013	Beta-lactamase		Beta-lactamase
RVT_1	shared	8	8	13	PF00078	CL0027	RdRP		Reverse transcriptase (RNA-dependent DNA polymerase)
Mito_carr	shared	18	7	11	PF00153	NA	NA		Mitochondrial carrier protein
PT	shared	14	7	12	PF04886	NA	NA		PT disordered repeat
Cellulase	shared	38	3	8	PF00150	CL0036	TIM_barrel		Cellulase (glycosyl hydrolase family 5)
Bromodomain	shared	6	3	7	PF00439	NA	NA		Bromodomain
2OG-FeII_Oxy_3	shared	53	3	10	PF13640	CL0029	Cupin		2OG-Fe(II) oxygenase superfamily
Methyltransf_16	shared	49	3	12	PF10294	CL0063	NADP_Rossmann		Lysine methyltransferase
Sulfotransfer_1	shared	20	4	11	PF00685	CL0023	P-loop_NTPase		Sulfotransferase domain
ShK	shared	49	5	10	PF01549	CL0213	ShK-like		ShK domain-like
zf-CCHC	shared	5	7	12	PF00098	CL0511	Retroviral_zf		Zinc knuckle
zf-MYND	shared	10	6	12	PF01753	CL0175	TRASH		MYND finger
